SlogP_VSA4,PEOE_VSA10,EState_VSA7,BCUT2D_LOGPLOW,VSA_EState3,Tertiary_Amines,EState_VSA8,Aromatic_Hydroxyl,PEOE_VSA6,SlogP_VSA11,FpDensityMorgan3,Aryl_Methyl,MinEStateIndex,EState_VSA9,SPS,Secondary_Amines,VSA_EState5,PEOE_VSA1,NumRotatableBonds,MaxEStateIndex
6.9237372,0,0,-2.545223599,0,1,0,0,60.16075511,0,1.288135593,9,-6.243022223,0,15.01694915,4,-5.109285639,0,5,15.03777099
81.15645273,22.99804733,0,-2.303630509,0,1,0,6,0,34.497071,1.174603175,9,-2.466890577,14.21058886,13.3015873,4,-25.3450583,14.21058886,8,15.58951318
6.9237372,34.497071,6.9237372,-2.287100491,0,1,0,6,17.69618563,34.497071,1.375,7,-4.878254757,14.21058886,13.6875,4,-2.631855854,14.21058886,9,14.50512772
6.9237372,0,0,-2.290069315,0,1,0,0,30.33183534,0,1.717948718,5,-3.88030419,0,14.71794872,4,-1.938326842,0,4,13.44223031
6.9237372,45.99609467,97.91924323,-2.287043615,0,1,0,8,35.52443765,45.99609467,1.271186441,5,-0.444500198,18.94745182,13.05084746,4,2.961014527,18.94745182,11,13.56772268
6.9237372,0,12.13273414,-2.316968885,0,1,72.73162867,0,77.94062561,0,1.454545455,7,-0.386479412,0,14.90909091,4,-1.442051377,0,3,13.94264417
0,11.49902367,12.13273414,-2.316927478,0,1,71.87425854,2,71.87425854,11.49902367,1.704545455,6,-0.430756902,4.736862954,14.79545455,4,-0.908685499,4.736862954,4,13.83181224
0,0,51.10304694,-2.545227913,0,1,20.7712116,0,84.00699268,0,1.480769231,8,-6.059362709,0,15.48076923,4,-3.939549785,0,4,15.11973162
6.9237372,22.99804733,60.66367068,-2.316949515,0,1,86.57910307,4,103.9208341,22.99804733,1.344262295,9,-0.380305489,9.473725908,14.13114754,4,0.730956878,9.473725908,8,14.13166045
23.68173728,57.49511833,60.66367068,-2.287187451,0,0,23.68173728,10,72.21267382,57.49511833,0.702970297,12,-0.583340012,23.68431477,13.26732673,4,12.10779811,23.68431477,14,13.96548473
23.68173728,45.99609467,60.66367068,-2.545242013,0,0,23.68173728,8,84.34540796,45.99609467,0.743119266,14,-6.233691185,18.94745182,13.70642202,4,7.640349865,18.94745182,14,15.83118325
23.68173728,45.99609467,60.66367068,-2.287539637,0,0,23.68173728,8,84.34540796,45.99609467,0.764705882,14,-0.658154827,18.94745182,13.25490196,4,10.69143556,18.94745182,14,14.13455642
23.68173728,45.99609467,60.66367068,-2.289007481,0,0,23.68173728,8,97.8384278,45.99609467,0.881188119,12,-0.579022722,18.94745182,13.18811881,4,11.68896053,18.94745182,13,14.41113754
51.37668607,5.917906046,118.6904548,-2.290974436,0,0,23.68173728,0,120.7436104,0,1.068181818,17,-1.121288032,0,14.63636364,3,7.764717041,0,7,14.66070355
23.68173728,5.917906046,0,-2.296989692,0,0,23.68173728,0,114.6772433,0,0.99,17,-5.487285858,0,15.04,3,0.652164038,0,7,15.2947962
6.9237372,0,19.05647134,-2.231740715,3.143141236,0,5.316788604,0,17.69618563,0,1.696969697,2,-0.579589822,0,11.33333333,0,-0.280279402,5.316788604,3,12.9778887
6.9237372,0,0,-2.543484959,0,1,0,0,54.09438804,0,1.4,7,-5.792838988,0,15.2,4,-2.614700576,0,4,14.48231356
6.9237372,0,0,-2.543485077,0,1,0,0,54.09438804,0,1.446808511,9,-5.821375023,0,14.9787234,4,-3.632140913,0,5,14.49235157
6.9237372,0,45.03667987,-2.545223211,0,1,0,0,67.94186244,0,1.354166667,9,-6.044922569,0,15.375,4,-3.952064872,0,5,14.94412983
6.9237372,0,0,-2.545234706,0,1,0,0,54.09438804,0,1.148148148,9,-6.242679483,0,15.66666667,4,-5.08118363,0,5,14.95178289
6.9237372,0,26.18804541,-2.574226352,1.419732149,1,0,0,54.09438804,0,1.384615385,7,-5.793797484,4.115147098,15.46153846,4,-2.371448857,4.115147098,7,14.60695664
18.25485007,34.63072014,25.12283841,-2.287654892,9.952255391,1,6.069221313,4,36.39820241,22.99804733,1.739130435,6,-0.516283979,9.473725908,13.5,4,-0.311270306,9.473725908,6,13.62786638
18.25485007,34.63072014,25.12283841,-2.287843176,9.952678084,1,6.069221313,4,36.39820241,22.99804733,1.770833333,8,-0.634797771,9.473725908,13.35416667,4,-1.306260256,9.473725908,7,13.60543742
18.25485007,34.63072014,19.05932558,-2.545223353,9.954595601,1,0,4,36.39820241,22.99804733,1.6,8,-6.104200499,9.473725908,14.23636364,4,-3.580156316,9.473725908,7,15.05330404
18.25485007,34.63072014,63.44361796,-2.574221878,11.74091946,1,6.069221313,4,36.39820241,22.99804733,1.660377358,6,-2.695978361,13.58887301,13.98113208,4,-0.089096017,13.58887301,9,13.92245233
18.25485007,34.63072014,69.50998503,-2.57422223,11.67174478,1,6.069221313,4,35.89528683,22.99804733,1.566037736,6,-2.675134593,13.58887301,13.98113208,4,0.115016404,13.58887301,9,13.79502559
6.9237372,22.99804733,67.58740788,-2.287078685,0,1,25.98020854,4,67.94186244,22.99804733,1.320754717,7,-0.445090596,9.473725908,13.73584906,4,1.191107317,9.473725908,8,13.57100822
6.9237372,22.99804733,6.9237372,-2.543002884,0,1,0,4,54.09438804,22.99804733,1.237288136,7,-5.810144443,9.473725908,14.16949153,4,-1.695508822,9.473725908,8,14.80301823
6.9237372,22.99804733,67.58740788,-2.287268029,0,1,25.98020854,4,67.94186244,22.99804733,1.363636364,9,-0.563604388,9.473725908,13.6,4,0.255853669,9.473725908,9,13.54857925
6.9237372,22.99804733,6.9237372,-2.543002929,0,1,0,4,54.09438804,22.99804733,1.278688525,9,-5.825658239,9.473725908,14.03278689,4,-2.729172783,9.473725908,9,14.81124963
6.9237372,34.497071,6.9237372,-2.543002914,0,1,0,6,41.9616539,34.497071,1.2,7,-5.814255039,14.21058886,14.06666667,4,-1.442108455,14.21058886,9,14.80282111
6.9237372,22.99804733,33.11178261,-2.574223207,1.560094165,1,0,4,54.09438804,22.99804733,1.227272727,7,-5.812343858,13.58887301,14.48484848,4,-1.460897446,13.58887301,11,14.87977063
6.9237372,11.49902367,31.18920547,-2.287219442,8.261918716,1,10.19736362,2,17.69618563,11.49902367,1.666666667,5,-0.496296126,9.154013891,14.04761905,4,-0.421625147,9.154013891,5,13.34088668
6.9237372,0,31.18920547,-2.287245632,8.27572954,1,10.19736362,0,29.82891977,0,1.56097561,5,-0.452597148,4.417150937,14.19512195,4,-0.891428782,4.417150937,4,13.41424157
6.9237372,0,19.05647134,-2.545222956,8.04302997,1,10.19736362,0,29.82891977,0,1.48,7,-6.068920547,4.417150937,14.88,4,-3.75059034,4.417150937,5,14.94216816
6.9237372,0,43.32193961,-2.574221927,10.10665816,1,36.38540903,0,29.82891977,0,1.5625,5,-2.639267088,8.532298035,14.625,4,-0.698776448,8.532298035,7,13.70882752
6.9237372,34.497071,55.45467375,-2.287044096,8.424340512,1,10.19736362,6,17.69618563,34.497071,1.339285714,5,-0.509825868,18.6277398,13.25,4,2.012337878,18.6277398,9,13.47976001
6.9237372,22.99804733,67.58740788,-2.287070515,8.430417674,1,10.19736362,4,29.82891977,22.99804733,1.345454545,5,-0.466126891,13.89087684,13.34545455,4,1.577234956,13.89087684,8,13.5531149
6.9237372,22.99804733,55.45467375,-2.287259919,8.412916651,1,10.19736362,4,29.82891977,22.99804733,1.421052632,7,-0.584640683,13.89087684,13.22807018,4,0.605646267,13.89087684,9,13.53068594
6.9237372,22.99804733,31.18920547,-2.545223158,8.301465691,1,10.19736362,4,29.82891977,22.99804733,1.3125,7,-6.087468526,13.89087684,14,4,-1.65425413,13.89087684,9,15.06063728
6.9237372,22.99804733,79.72014202,-2.574222577,10.21361747,1,36.38540903,4,29.82891977,22.99804733,1.35483871,5,-2.671997058,18.00602394,13.77419355,4,1.785156112,18.00602394,11,13.84770085
6.9237372,22.99804733,79.72014202,-2.574222224,10.217809,1,36.38540903,4,30.33183534,22.99804733,1.516129032,5,-2.690305458,18.00602394,13.77419355,4,1.600230623,18.00602394,11,13.97101612
6.9237372,0,55.45467375,-2.545222967,0,1,0,0,72.29348924,0,1.411764706,7,-6.05235894,0,14.74509804,4,-3.978991313,0,5,14.98280521
6.9237372,0,19.05647134,-2.545222956,8.04302997,1,10.19736362,0,29.82891977,0,1.48,7,-6.068920547,4.417150937,14.88,4,-3.75059034,4.417150937,5,14.94216816
6.9237372,11.49902367,24.26546827,-2.28719815,0,1,43.32193961,2,60.16075511,11.49902367,1.581395349,5,-0.44822128,4.736862954,13.90697674,4,-0.957773019,4.736862954,5,13.42307319
6.9237372,11.49902367,31.18920547,-2.287219442,8.261918716,1,10.19736362,2,17.69618563,11.49902367,1.666666667,5,-0.496296126,9.154013891,14.04761905,4,-0.421625147,9.154013891,5,13.34088668
6.9237372,0,24.26546827,-2.287224638,8.242842781,1,53.51930323,0,60.16075511,0,1.553191489,5,-0.452195606,4.417150937,13.82978723,4,-1.356590509,4.417150937,5,13.56541111
6.9237372,0,31.18920547,-2.287245919,16.47935523,1,20.39472723,0,17.69618563,0,1.413043478,5,-0.500270451,8.834301874,13.95652174,4,-0.818108747,8.834301874,5,13.4832246
6.9237372,0,97.91924323,-2.230434533,0.299356647,0,0,0,102.6253246,0,1.21875,3,-0.597111187,19.93591408,11.59375,0,-0.220938805,0,7,14.2687633
18.75954929,0,78.86277189,-2.364155896,0,1,49.38830668,0,114.7580587,0,1.344262295,1,-1.189203368,24.67277704,19.63934426,4,-4.258120988,4.736862954,6,13.74094857
6.9237372,0,91.85287616,-2.230433592,0.218810618,0,0,0,102.6253246,0,1.2,1,-4.112290788,19.93591408,11.90769231,0,0,0,7,14.4562633
6.9237372,11.49902367,97.0618731,-2.23042954,0.357452534,0,31.18920547,2,102.6253246,11.49902367,1.222222222,1,-0.578284483,24.67277704,11.58730159,0,1.120952469,4.736862954,7,13.65053572
